trial,eval,score,best_score,params
54,3,582.8471,624.8918,-0.6257;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2267;-0.7616;0.0970;-0.7506
55,3,565.7233,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.7942;-0.0604;-0.7616;0.0970;-0.6593
56,3,592.8551,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.3913;-0.8067;0.2267;-0.7616;0.0970;-0.6593
57,3,546.2482,624.8918,-0.2111;-0.0903;0.5241;0.7812;-1.0000;-0.1241;0.6611;-0.8067;0.2267;-0.7616;0.0970;-0.6593
58,3,555.7003,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.6285;-0.0720;0.6611;-0.8067;-0.0237;-0.7616;0.0970;-0.6593
59,3,520.1372,624.8918,-0.2111;0.1057;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2267;-0.7616;0.0970;-0.6593
60,3,601.3257,624.8918,-0.2111;-0.1156;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2267;-0.7616;0.0970;-0.6593
61,3,569.4215,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.7611;-0.0720;0.6611;-0.8067;0.2267;-0.7616;0.0970;-0.6593
62,3,608.6827,624.8918,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2267;-0.7616;0.0970;-0.9065
63,3,675.1168,675.1168,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2267;-0.1259;0.0970;-0.6593
64,3,649.5875,675.1168,-0.2111;-0.0903;0.5769;0.7812;-0.6921;-0.0720;0.6611;-0.8067;0.2267;-0.1259;0.0970;-0.6593
65,3,706.7950,706.7950,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.3259;0.6611;-0.8067;0.2267;-0.1259;0.0970;-0.6593
66,3,322.0995,706.7950,-0.2111;-0.3079;0.5241;0.7812;-0.6921;-0.3259;0.6611;-0.8067;0.2267;-0.1259;0.5936;-0.6593
67,3,659.0393,706.7950,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.1022;0.6611;-0.8067;0.2267;-0.1259;0.0970;-0.6593
68,3,635.2859,706.7950,-0.2111;-0.0903;0.5241;0.7812;-0.9189;-0.3259;0.6611;-0.8067;0.2267;-0.3581;0.0970;-0.6593
69,3,604.0829,706.7950,-0.2111;-0.0903;0.5241;0.7812;-0.6921;-0.3259;0.9301;-0.8067;0.2267;-0.1259;0.1242;-0.6593
70,3,542.8372,706.7950,-0.8746;-0.0903;0.5241;0.7812;-0.6921;-0.3259;0.6611;-0.8067;0.2267;-0.1259;0.0970;-0.6593
